text,label,label_name
我这个月能找到实习吗,career,事业/求职
最近我这个月能找到实习吗,career,事业/求职
最近我这个月能找到实习吗麻烦分析一下,career,事业/求职
我这个月能找到实习吗谢谢,career,事业/求职
我这个月能找到实习吗应该怎么办,career,事业/求职
最近工作运势如何,career,事业/求职
请问最近工作运势如何应该怎么办,career,事业/求职
请问最近工作运势如何会有好结果吗,career,事业/求职
最近工作运势如何会有好结果吗,career,事业/求职
我应该继续现在的工作方向吗,career,事业/求职
帮我看看我应该继续现在的工作方向吗,career,事业/求职
帮我看看我应该继续现在的工作方向吗应该怎么办,career,事业/求职
我应该继续现在的工作方向吗谢谢,career,事业/求职
我应该继续现在的工作方向吗应该怎么办,career,事业/求职
面试会顺利吗,career,事业/求职
我想知道面试会顺利吗,career,事业/求职
我想知道面试会顺利吗会有好结果吗,career,事业/求职
最近面试会顺利吗谢谢,career,事业/求职
最近面试会顺利吗会有好结果吗,career,事业/求职
找工作有没有机会,career,事业/求职
帮我看看找工作有没有机会给我一点建议,career,事业/求职
帮我看看找工作有没有机会会有好结果吗,career,事业/求职
请问找工作有没有机会麻烦分析一下,career,事业/求职
请问找工作有没有机会,career,事业/求职
我适合跳槽吗,career,事业/求职
请问我适合跳槽吗麻烦分析一下,career,事业/求职
请问我适合跳槽吗应该怎么办,career,事业/求职
帮我看看我适合跳槽吗谢谢,career,事业/求职
帮我看看我适合跳槽吗应该怎么办,career,事业/求职
这个岗位值得投递吗,career,事业/求职
想问一下这个岗位值得投递吗,career,事业/求职
想问一下这个岗位值得投递吗给我一点建议,career,事业/求职
这个岗位值得投递吗麻烦分析一下,career,事业/求职
实习转正机会大吗,career,事业/求职
想问一下实习转正机会大吗麻烦分析一下,career,事业/求职
想问一下实习转正机会大吗,career,事业/求职
我想知道实习转正机会大吗应该怎么办,career,事业/求职
我想知道实习转正机会大吗给我一点建议,career,事业/求职
最近项目推进不顺怎么办,career,事业/求职
我想知道最近项目推进不顺怎么办给我一点建议,career,事业/求职
我想知道最近项目推进不顺怎么办,career,事业/求职
最近项目推进不顺怎么办会有好结果吗,career,事业/求职
最近项目推进不顺怎么办麻烦分析一下,career,事业/求职
我和领导沟通会顺利吗,career,事业/求职
最近我和领导沟通会顺利吗麻烦分析一下,career,事业/求职
最近我和领导沟通会顺利吗会有好结果吗,career,事业/求职
我想知道我和领导沟通会顺利吗谢谢,career,事业/求职
我想知道我和领导沟通会顺利吗,career,事业/求职
职业发展应该怎么选择,career,事业/求职
职业发展应该怎么选择麻烦分析一下,career,事业/求职
请问职业发展应该怎么选择谢谢,career,事业/求职
请问职业发展应该怎么选择,career,事业/求职
现在适合换方向吗,career,事业/求职
帮我看看现在适合换方向吗给我一点建议,career,事业/求职
帮我看看现在适合换方向吗麻烦分析一下,career,事业/求职
想问一下现在适合换方向吗谢谢,career,事业/求职
想问一下现在适合换方向吗麻烦分析一下,career,事业/求职
我的求职状态怎么样,career,事业/求职
想问一下我的求职状态怎么样应该怎么办,career,事业/求职
想问一下我的求职状态怎么样麻烦分析一下,career,事业/求职
请问我的求职状态怎么样应该怎么办,career,事业/求职
请问我的求职状态怎么样,career,事业/求职
这份 offer 要不要接受,career,事业/求职
我想知道这份 offer 要不要接受会有好结果吗,career,事业/求职
我想知道这份 offer 要不要接受谢谢,career,事业/求职
请问这份 offer 要不要接受谢谢,career,事业/求职
请问这份 offer 要不要接受给我一点建议,career,事业/求职
我能不能拿到实习 offer,career,事业/求职
帮我看看我能不能拿到实习 offer应该怎么办,career,事业/求职
帮我看看我能不能拿到实习 offer会有好结果吗,career,事业/求职
想问一下我能不能拿到实习 offer谢谢,career,事业/求职
想问一下我能不能拿到实习 offer麻烦分析一下,career,事业/求职
最近适合主动联系 HR 吗,career,事业/求职
最近适合主动联系 HR 吗麻烦分析一下,career,事业/求职
请问最近适合主动联系 HR 吗给我一点建议,career,事业/求职
请问最近适合主动联系 HR 吗麻烦分析一下,career,事业/求职
科研项目和实习应该怎么取舍,career,事业/求职
科研项目和实习应该怎么取舍会有好结果吗,career,事业/求职
科研项目和实习应该怎么取舍麻烦分析一下,career,事业/求职
请问科研项目和实习应该怎么取舍谢谢,career,事业/求职
请问科研项目和实习应该怎么取舍给我一点建议,career,事业/求职
我现在的工作会有突破吗,career,事业/求职
帮我看看我现在的工作会有突破吗谢谢,career,事业/求职
帮我看看我现在的工作会有突破吗麻烦分析一下,career,事业/求职
最近我现在的工作会有突破吗谢谢,career,事业/求职
最近我现在的工作会有突破吗应该怎么办,career,事业/求职
创业项目是否适合继续,career,事业/求职
最近创业项目是否适合继续会有好结果吗,career,事业/求职
最近创业项目是否适合继续麻烦分析一下,career,事业/求职
我想知道创业项目是否适合继续应该怎么办,career,事业/求职
我想知道创业项目是否适合继续会有好结果吗,career,事业/求职
当前团队合作会不会顺利,career,事业/求职
帮我看看当前团队合作会不会顺利给我一点建议,career,事业/求职
帮我看看当前团队合作会不会顺利麻烦分析一下,career,事业/求职
我想知道当前团队合作会不会顺利谢谢,career,事业/求职
我想知道当前团队合作会不会顺利应该怎么办,career,事业/求职
期末考试能不能过,study,学业/考试
我想知道期末考试能不能过,study,学业/考试
我想知道期末考试能不能过应该怎么办,study,学业/考试
帮我看看期末考试能不能过,study,学业/考试
帮我看看期末考试能不能过谢谢,study,学业/考试
最近学习状态如何,study,学业/考试
最近最近学习状态如何应该怎么办,study,学业/考试
最近最近学习状态如何给我一点建议,study,学业/考试
请问最近学习状态如何会有好结果吗,study,学业/考试
请问最近学习状态如何,study,学业/考试
论文能不能顺利完成,study,学业/考试
帮我看看论文能不能顺利完成会有好结果吗,study,学业/考试
帮我看看论文能不能顺利完成给我一点建议,study,学业/考试
最近论文能不能顺利完成会有好结果吗,study,学业/考试
最近论文能不能顺利完成麻烦分析一下,study,学业/考试
这个课程项目能拿高分吗,study,学业/考试
我想知道这个课程项目能拿高分吗应该怎么办,study,学业/考试
我想知道这个课程项目能拿高分吗,study,学业/考试
这个课程项目能拿高分吗应该怎么办,study,学业/考试
这个课程项目能拿高分吗会有好结果吗,study,学业/考试
考研复习是否顺利,study,学业/考试
想问一下考研复习是否顺利,study,学业/考试
想问一下考研复习是否顺利麻烦分析一下,study,学业/考试
最近考研复习是否顺利给我一点建议,study,学业/考试
最近考研复习是否顺利谢谢,study,学业/考试
我适合继续读博吗,study,学业/考试
帮我看看我适合继续读博吗应该怎么办,study,学业/考试
帮我看看我适合继续读博吗麻烦分析一下,study,学业/考试
我适合继续读博吗会有好结果吗,study,学业/考试
我适合继续读博吗谢谢,study,学业/考试
这门课怎么准备比较好,study,学业/考试
我想知道这门课怎么准备比较好应该怎么办,study,学业/考试
我想知道这门课怎么准备比较好麻烦分析一下,study,学业/考试
这门课怎么准备比较好应该怎么办,study,学业/考试
这门课怎么准备比较好会有好结果吗,study,学业/考试
我的学习计划要不要调整,study,学业/考试
我想知道我的学习计划要不要调整谢谢,study,学业/考试
我想知道我的学习计划要不要调整麻烦分析一下,study,学业/考试
请问我的学习计划要不要调整谢谢,study,学业/考试
请问我的学习计划要不要调整会有好结果吗,study,学业/考试
毕业论文能否按时完成,study,学业/考试
我想知道毕业论文能否按时完成会有好结果吗,study,学业/考试
我想知道毕业论文能否按时完成麻烦分析一下,study,学业/考试
毕业论文能否按时完成给我一点建议,study,学业/考试
最近科研进展是否会变好,study,学业/考试
最近科研进展是否会变好麻烦分析一下,study,学业/考试
最近科研进展是否会变好谢谢,study,学业/考试
想问一下最近科研进展是否会变好,study,学业/考试
想问一下最近科研进展是否会变好谢谢,study,学业/考试
考试前应该怎么复习,study,学业/考试
我想知道考试前应该怎么复习,study,学业/考试
我想知道考试前应该怎么复习给我一点建议,study,学业/考试
考试前应该怎么复习会有好结果吗,study,学业/考试
导师会认可我的研究方向吗,study,学业/考试
请问导师会认可我的研究方向吗应该怎么办,study,学业/考试
请问导师会认可我的研究方向吗给我一点建议,study,学业/考试
最近导师会认可我的研究方向吗会有好结果吗,study,学业/考试
最近导师会认可我的研究方向吗谢谢,study,学业/考试
这个实验能不能成功,study,学业/考试
想问一下这个实验能不能成功会有好结果吗,study,学业/考试
想问一下这个实验能不能成功给我一点建议,study,学业/考试
我想知道这个实验能不能成功谢谢,study,学业/考试
我想知道这个实验能不能成功会有好结果吗,study,学业/考试
我需要换研究题目吗,study,学业/考试
最近我需要换研究题目吗应该怎么办,study,学业/考试
最近我需要换研究题目吗麻烦分析一下,study,学业/考试
请问我需要换研究题目吗给我一点建议,study,学业/考试
请问我需要换研究题目吗麻烦分析一下,study,学业/考试
答辩能不能顺利通过,study,学业/考试
帮我看看答辩能不能顺利通过给我一点建议,study,学业/考试
帮我看看答辩能不能顺利通过,study,学业/考试
我想知道答辩能不能顺利通过谢谢,study,学业/考试
我想知道答辩能不能顺利通过应该怎么办,study,学业/考试
我最近写报告是否顺利,study,学业/考试
我最近写报告是否顺利会有好结果吗,study,学业/考试
想问一下我最近写报告是否顺利会有好结果吗,study,学业/考试
想问一下我最近写报告是否顺利谢谢,study,学业/考试
论文投稿有希望吗,study,学业/考试
我想知道论文投稿有希望吗,study,学业/考试
我想知道论文投稿有希望吗应该怎么办,study,学业/考试
请问论文投稿有希望吗应该怎么办,study,学业/考试
请问论文投稿有希望吗,study,学业/考试
这个模型复现能成功吗,study,学业/考试
请问这个模型复现能成功吗,study,学业/考试
请问这个模型复现能成功吗麻烦分析一下,study,学业/考试
这个模型复现能成功吗会有好结果吗,study,学业/考试
课程作业会不会出问题,study,学业/考试
请问课程作业会不会出问题应该怎么办,study,学业/考试
请问课程作业会不会出问题给我一点建议,study,学业/考试
想问一下课程作业会不会出问题谢谢,study,学业/考试
想问一下课程作业会不会出问题会有好结果吗,study,学业/考试
学习压力很大怎么办,study,学业/考试
请问学习压力很大怎么办会有好结果吗,study,学业/考试
请问学习压力很大怎么办给我一点建议,study,学业/考试
我想知道学习压力很大怎么办谢谢,study,学业/考试
我想知道学习压力很大怎么办给我一点建议,study,学业/考试
我和他还有机会吗,relationship,感情/人际
帮我看看我和他还有机会吗,relationship,感情/人际
帮我看看我和他还有机会吗应该怎么办,relationship,感情/人际
请问我和他还有机会吗应该怎么办,relationship,感情/人际
请问我和他还有机会吗给我一点建议,relationship,感情/人际
最近感情运势如何,relationship,感情/人际
想问一下最近感情运势如何给我一点建议,relationship,感情/人际
想问一下最近感情运势如何应该怎么办,relationship,感情/人际
帮我看看最近感情运势如何应该怎么办,relationship,感情/人际
帮我看看最近感情运势如何,relationship,感情/人际
对方是否还在意我,relationship,感情/人际
最近对方是否还在意我,relationship,感情/人际
最近对方是否还在意我给我一点建议,relationship,感情/人际
对方是否还在意我应该怎么办,relationship,感情/人际
对方是否还在意我麻烦分析一下,relationship,感情/人际
我该不该主动联系对方,relationship,感情/人际
我该不该主动联系对方谢谢,relationship,感情/人际
我该不该主动联系对方应该怎么办,relationship,感情/人际
请问我该不该主动联系对方会有好结果吗,relationship,感情/人际
请问我该不该主动联系对方给我一点建议,relationship,感情/人际
这段关系值得继续吗,relationship,感情/人际
请问这段关系值得继续吗谢谢,relationship,感情/人际
请问这段关系值得继续吗麻烦分析一下,relationship,感情/人际
帮我看看这段关系值得继续吗给我一点建议,relationship,感情/人际
帮我看看这段关系值得继续吗谢谢,relationship,感情/人际
朋友之间最近会不会有矛盾,relationship,感情/人际
朋友之间最近会不会有矛盾会有好结果吗,relationship,感情/人际
帮我看看朋友之间最近会不会有矛盾,relationship,感情/人际
帮我看看朋友之间最近会不会有矛盾会有好结果吗,relationship,感情/人际
人际关系怎么改善,relationship,感情/人际
人际关系怎么改善谢谢,relationship,感情/人际
人际关系怎么改善应该怎么办,relationship,感情/人际
最近人际关系怎么改善给我一点建议,relationship,感情/人际
最近人际关系怎么改善应该怎么办,relationship,感情/人际
我和同学合作会顺利吗,relationship,感情/人际
帮我看看我和同学合作会顺利吗给我一点建议,relationship,感情/人际
帮我看看我和同学合作会顺利吗,relationship,感情/人际
请问我和同学合作会顺利吗谢谢,relationship,感情/人际
请问我和同学合作会顺利吗给我一点建议,relationship,感情/人际
最近适合表白吗,relationship,感情/人际
最近适合表白吗麻烦分析一下,relationship,感情/人际
最近适合表白吗给我一点建议,relationship,感情/人际
帮我看看最近适合表白吗麻烦分析一下,relationship,感情/人际
帮我看看最近适合表白吗给我一点建议,relationship,感情/人际
这段感情会有结果吗,relationship,感情/人际
最近这段感情会有结果吗应该怎么办,relationship,感情/人际
最近这段感情会有结果吗给我一点建议,relationship,感情/人际
我想知道这段感情会有结果吗谢谢,relationship,感情/人际
我想知道这段感情会有结果吗应该怎么办,relationship,感情/人际
我应该放下这段关系吗,relationship,感情/人际
想问一下我应该放下这段关系吗,relationship,感情/人际
想问一下我应该放下这段关系吗会有好结果吗,relationship,感情/人际
请问我应该放下这段关系吗应该怎么办,relationship,感情/人际
请问我应该放下这段关系吗会有好结果吗,relationship,感情/人际
和家人沟通会不会顺利,relationship,感情/人际
和家人沟通会不会顺利应该怎么办,relationship,感情/人际
想问一下和家人沟通会不会顺利会有好结果吗,relationship,感情/人际
